"observation_id","location_name_raw","query_sent","latitude","longitude","ward_code","ward_name","geocode_source","geocode_match_type","geocode_verified","review_note","anchor_type","confidence","coordinate_basis","coordinate_changed_from_input","ward_changed_from_input","original_latitude","original_longitude","original_ward_code","original_ward_name","needs_manual_validation"
"VNE_20251007_001","Nhánh 2 đường gom cao tốc Hà Nội - Hải Phòng","Nhánh 2 đường gom cao tốc Hà Nội - Hải Phòng, Hà Nội, Việt Nam","20.998000","105.938000","00565","Xã Gia Lâm","canonical_area_anchor","area_anchor","false","Exact ""Nhánh 2"" road-branch endpoint not independently resolved; canonical anchor placed on Hà Nội–Hải Phòng frontage-road corridor in Gia Lâm. Field/map validation required.","area_anchor","low","canonical_area_anchor","true","true","","","","","true"
"VNE_20251007_002","ĐLTL đoạn Km 8+200","ĐLTL đoạn Km 8+200, Hà Nội, Việt Nam","21.011700","105.714493","09877","Xã An Khánh","chainage_interpolation","chainage_anchor","false","Canonical point for ĐLTL Km8+200 interpolated along Đại lộ Thăng Long from reviewed chainage controls; not a surveyed GNSS point.","chainage_anchor","medium","chainage_interpolation","true","true","21.010280","105.738415","00622","Phường Xuân Phương","false"
"VNE_20251007_003","ĐLTL đoạn hầm chui số 9","ĐLTL đoạn hầm chui số 9, Hà Nội, Việt Nam","21.017479","105.617206","09895","Xã Quốc Oai","chainage_interpolation","underpass_chainage","false","Hầm chui số 9 associated with ĐLTL Km18+366.11 in road-asset documentation; coordinate is chainage-derived canonical anchor.","underpass_chainage","medium","chainage_interpolation","true","true","21.010280","105.738415","00622","Phường Xuân Phương","false"
"VNE_20251007_004","ĐLTL đoạn hầm chui số 5","ĐLTL đoạn hầm chui số 5, Hà Nội, Việt Nam","21.012753","105.696791","09877","Xã An Khánh","chainage_interpolation","underpass_chainage","false","Hầm chui số 5 associated with approx. Km10+040/Km10+061; canonical midpoint derived from chainage, not survey.","underpass_chainage","medium","chainage_interpolation","true","true","21.010280","105.738415","00622","Phường Xuân Phương","false"
"VNE_20251007_005","ĐLTL đoạn hầm chui số 6","ĐLTL đoạn hầm chui số 6, Hà Nội, Việt Nam","21.012923","105.693920","09877","Xã An Khánh","chainage_interpolation","underpass_chainage","false","Hầm chui số 6 associated with approx. Km10+340/Km10+359; canonical midpoint derived from chainage, not survey.","underpass_chainage","medium","chainage_interpolation","true","true","21.010280","105.738415","00622","Phường Xuân Phương","false"
"VNE_20251007_006","ĐLTL đoạn km 9+400 đường gom phải","ĐLTL đoạn km 9+400 đường gom phải, Hà Nội, Việt Nam","21.012383","105.703010","09877","Xã An Khánh","chainage_interpolation","chainage_anchor","false","Canonical point for ĐLTL Km9+400 đường gom phải; chainage-derived anchor.","chainage_anchor","medium","chainage_interpolation","true","true","21.010280","105.738415","00622","Phường Xuân Phương","false"
"VNE_20251007_007","Đường QL32: Km14+500","Đường QL32: Km14+500, Hà Nội, Việt Nam","21.080000","105.664000","09832","Xã Hoài Đức","chainage_estimate","chainage_anchor","false","QL32 Km14+500 belongs Hoài Đức corridor; point estimated along QL32 chainage. Requires road-chainage GIS validation.","chainage_anchor","low","chainage_estimate","true","true","21.086423","105.634422","09772","Xã Hát Môn","true"
"VNE_20251007_008","Đường QL32: Km17+700","Đường QL32: Km17+700, Hà Nội, Việt Nam","21.086423","105.634422","09832","Xã Hoài Đức","reviewed_existing_anchor","chainage_anchor","false","Original road coordinate retained as best available anchor for QL32 Km17+700, but ward corrected from Hát Môn to Hoài Đức; chainage-level validation recommended.","chainage_anchor","low","reviewed_existing_anchor","false","true","21.086423","105.634422","09772","Xã Hát Môn","true"
"VNE_20251007_009","Đường 423:Cầu Trũng Vỡ: Km3+164","Đường 423:Cầu Trũng Vỡ: Km3+164, Hà Nội, Việt Nam","21.097500","105.699500","09817","Xã Ô Diên","official_chainage_area_anchor","bridge_chainage","false","Input labels road 423; road documentation identifies Cầu Trũng Vỡ at Km3+164 on road 422 in former Tân Hội–Đan Phượng area. Coordinate is corridor anchor; field/map validation required.","bridge_chainage","low","official_chainage_area_anchor","true","true","21.122743","105.922191","","","true"
"VNE_20251007_010","Nguyễn Đình Chiểu","Nguyễn Đình Chiểu, Hà Nội, Việt Nam","21.010799","105.845801","00256","Phường Hai Bà Trưng","reviewed_existing_anchor","street_canonical","false","Full street-name Nominatim match retained as canonical street anchor; raw record does not specify a narrower segment.","street_canonical","medium","reviewed_existing_anchor","false","false","21.010799","105.845801","00256","Phường Hai Bà Trưng","false"
