point_id,point_name,street_name,ward_name,district_name,drainage_basin,rain_scenario,typical_depth_cm,latitude,longitude,status,source_reference
"HN_FLD_001","Đường Nguyễn Khuyến trước cổng Trường THCS Lý Thường Kiệt","Nguyễn Khuyến","Văn Miếu - Quốc Tử Giám","Đống Đa","to_lich","scenario_50_70mm","",21.028283,105.838667,"active","Kế hoạch 138/KH-UBND ngày 04/05/2024; Quyết định 2280/QĐ-UBND ngày 29/04/2026"
"HN_FLD_002","Đường Hoa Bằng đoạn số nhà 91-97 và 54-56","Hoa Bằng","Yên Hòa","Cầu Giấy","to_lich","scenario_50_70mm","",21.026390,105.796500,"active","Kế hoạch 138/KH-UBND ngày 04/05/2024; Quyết định 2280/QĐ-UBND ngày 29/04/2026"
"HN_FLD_003","Ngã tư Phan Bội Châu - Lý Thường Kiệt","Phan Bội Châu","Cửa Nam","Hoàn Kiếm","to_lich","scenario_50_70mm","",21.025220,105.843350,"active","Kế hoạch 138/KH-UBND ngày 04/05/2024; Quyết định 2280/QĐ-UBND ngày 29/04/2026"
"HN_FLD_004","Đường Minh Khai khu vực chân cầu Vĩnh Tuy","Minh Khai","Vĩnh Tuy","Hai Bà Trưng","to_lich","scenario_50_70mm","",21.000140,105.869870,"active","Kế hoạch 138/KH-UBND ngày 04/05/2024; Quyết định 2280/QĐ-UBND ngày 29/04/2026"
"HN_FLD_005","Đường Nguyễn Chính đoạn từ ngõ 74 đến cống hóa mương Tân Mai","Nguyễn Chính","Hoàng Mai","Hoàng Mai","to_lich","scenario_50_70mm","",20.979990,105.846970,"active","Kế hoạch 138/KH-UBND ngày 04/05/2024; Quyết định 2280/QĐ-UBND ngày 29/04/2026"
"HN_FLD_006","Đường Hoàng Như Tiếp từ Trường Tiểu học Ngọc Lâm đến ngã ba Hoàng Như Tiếp - Ái Mộ","Hoàng Như Tiếp","Bồ Đề","Long Biên","cau_bay","scenario_50_70mm","",21.044280,105.876180,"active","Kế hoạch 138/KH-UBND ngày 04/05/2024; Quyết định 2280/QĐ-UBND ngày 29/04/2026"
"HN_FLD_007","Đường Đinh Tiên Hoàng khu vực đài phun nước - bến xe điện","Đinh Tiên Hoàng","Hoàn Kiếm","Hoàn Kiếm","to_lich","scenario_over_100mm","",21.032080,105.851590,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_008","Đường Quan Nhân","Quan Nhân","Thanh Xuân","Thanh Xuân","to_lich","scenario_over_100mm","",21.003910,105.808410,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_009","Đường Nguyễn Trãi khu vực Trường Đại học Khoa học Xã hội và Nhân văn","Nguyễn Trãi","Thanh Xuân","Thanh Xuân","to_lich","scenario_over_100mm","",20.994880,105.807150,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_010","Đường Phan Văn Trường","Phan Văn Trường","Nghĩa Đô","Cầu Giấy","nhue","scenario_over_100mm","",21.039520,105.786880,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_011","Nút Cầu Giấy - Dịch Vọng và đoạn 235-255 Cầu Giấy","Cầu Giấy","Cầu Giấy","Cầu Giấy","to_lich","scenario_over_100mm","",21.030260,105.801340,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_012","Nút Dương Đình Nghệ - Phạm Hùng phía sau Keangnam","Dương Đình Nghệ","Yên Hòa","Cầu Giấy","nhue","scenario_over_100mm","",21.017380,105.784020,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_013","Đường Đỗ Đức Dục","Đỗ Đức Dục","Từ Liêm","Nam Từ Liêm","nhue","scenario_over_100mm","",21.007470,105.782880,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_014","Khu đô thị RESCO","Khu đô thị RESCO","Đông Ngạc","Bắc Từ Liêm","nhue","scenario_over_100mm","",21.066670,105.783330,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
"HN_FLD_015","Nút Cổ Linh - Đàm Quang Trung khu vực trước và đối diện AEON Mall Long Biên","Cổ Linh","Long Biên","Long Biên","cau_bay","scenario_over_100mm","",21.025420,105.899830,"active","Phụ lục 3 Kế hoạch 138/KH-UBND ngày 04/05/2024; HSDC/Sở Xây dựng rà soát mùa mưa 2025"
